HP01	0.024025206774320598
HP02	0.008605649330493327
HP04	0.067816091954023
HP05	0.04875457801339512
HP06	0.07979512848121526
HP07	0.04682029842629414
HP09	0.12856416655113453
HP10	0.15924605196128375
HP11	0.0038657070763570374
HP12	0.10780509812767877
HP13	0.1096901880185735
HP14	0.044148080018395035
HP15	0.2047726077184257
HP16	0.09565809137489326
HP17	0.12630482386206604
HP18	0.04999392434947142
HP19	0.0791217580073885
HP20	0.045397576939144965
HP21	0.09510229386236826
HP22	0.07153807791056355
HP23	0.03155694281377967
HP24	0.07900508924091464
HP25	0.08318799722865948
HP26	0.11604154745183722
HP27	0.13124907663109567
HP28	0.031222193143156243
HP29	0.1110523532522475
HP30	0.03233199438133025
